Gender,Height,Weight,IMC,Clasificación_IMC
Male,187.57142322448811,109.72098511014079,31.18576132699497,Obesidad
Male,174.70603627656138,73.62273185188151,24.121044353000592,Peso Normal
Male,188.23966769513365,96.49755015358394,27.232906361787776,Sobrepeso
Male,182.19668514447775,99.80950418971331,30.067059411998784,Obesidad
Male,177.49976148723286,93.5986187645829,29.7080326311014,Sobrepeso
Male,170.8226598470285,69.0422161541668,23.660491573716484,Peso Normal
Male,174.71410637922045,83.42821884767963,27.331094842378633,Sobrepeso
Male,173.60522939943328,76.19035194915736,25.279843073647843,Sobrepeso
Male,170.22813214372283,79.8001867279709,27.538560814692723,Sobrepeso
Male,161.17949470505067,70.9416420117829,27.307482030804316,Sobrepeso
Male,180.83627099875525,84.6425013947739,25.883166348216694,Sobrepeso
Male,181.96764500282032,96.95128455104091,29.27960533699688,Sobrepeso
Male,164.50647599885,75.80767932324014,28.012199043426346,Sobrepeso
Male,175.9789980456698,85.93127230757327,27.74786422189447,Sobrepeso
Male,175.87907986372045,84.56504714108983,27.337734761333042,Sobrepeso
Male,171.81987403906984,78.10261397892141,26.455670730667784,Sobrepeso
Male,183.942524230009,88.916962243456,26.27969576016479,Sobrepeso
Male,162.49478733149493,78.41855901894094,29.69887442398377,Sobrepeso
Male,176.88575214537084,84.36083528351118,26.962190070821187,Sobrepeso
Male,172.55745232918412,82.74726812561521,27.789851389042546,Sobrepeso
Male,172.50422749230435,78.97759250388721,26.540213100305433,Sobrepeso
Male,176.37617726482034,89.68939099306408,28.831100762917732,Sobrepeso
Male,168.01879518063035,67.6639361526894,23.96853696917229,Peso Normal
Male,191.02317298012184,103.76451359280797,28.436539518669925,Sobrepeso
Male,172.4487187000549,73.4849212251682,24.710315425084676,Peso Normal
Male,173.08584330743003,87.24568902450659,29.121978713317276,Sobrepeso
Male,175.48766382947102,83.6583196302577,27.165390482113725,Sobrepeso
Male,184.91414253191076,93.81561209555721,27.436888635994514,Sobrepeso
Male,171.24995539556042,79.47563348891016,27.1002354571867,Sobrepeso
Male,173.98089500648203,70.00858627570177,23.128538290225762,Peso Normal
Male,174.29000079752274,85.0516040007288,27.9986804960678,Sobrepeso
Male,188.04587135903623,96.57437492585372,27.310792364268885,Sobrepeso
Male,181.6816687303501,88.46506527292169,26.800912565123237,Sobrepeso
Male,175.71760919290577,93.06964917147516,30.142377566489948,Obesidad
Male,176.7260940081211,92.60721400658434,29.651281061960066,Sobrepeso
Male,178.81835937672955,87.49949120974019,27.36410925334991,Sobrepeso
Male,175.45347476554045,89.57908693693159,29.099309534915356,Sobrepeso
Male,170.6715491381159,83.37518697059,28.622961070192677,Sobrepeso
Male,167.15058176352375,74.32187695034392,26.601178902552704,Sobrepeso
Male,163.3326372445611,73.98449171400647,27.732865512188166,Sobrepeso
Male,172.65481401707962,78.07932989895657,26.1926049920479,Sobrepeso
Male,183.36114193640202,88.01744329852038,26.179065467672945,Sobrepeso
Male,165.7866776310601,76.48366073629721,27.827193609986065,Sobrepeso
